,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,Bengkulu,-3.8004,102.2655,77.0,85,100,3.24,ID,1650765782
307,Czersk,53.7959,17.9765,37.45,82,29,5.1,PL,1650765783
308,Sitka,57.0531,-135.33,43.29,87,100,5.66,US,1650765783
309,Banikoara,11.2985,2.4386,85.46,24,99,3.36,BJ,1650765784
310,Yar-Sale,66.8333,70.8333,-4.22,98,73,2.19,RU,1650765784
311,Marawi,7.9986,124.2928,80.82,63,21,3.04,PH,1650765785
312,Yārāda,17.65,83.2667,84.52,79,20,2.3,IN,1650765785
313,Yulara,-25.2406,130.9889,75.29,37,2,15.08,AU,1650765786
314,Colônia Leopoldina,-8.9089,-35.725,72.66,96,18,1.77,BR,1650765677
315,Laguna,38.421,-121.4238,75.49,17,0,10.36,US,1650765786
316,Lavumisa,-27.31,31.892,64.63,97,8,3.22,SZ,1650765787
317,Payson,40.0444,-111.7321,49.37,41,1,1.01,US,1650765788
318,Castro,-24.7911,-50.0119,63.64,86,100,2.62,BR,1650765788
319,Huangzhai,38.0751,112.6595,66.61,22,100,5.95,CN,1650765789
320,Siyabuswa,-25.1132,29.0445,64.38,82,60,5.28,ZA,1650765789
321,Urgut,39.4022,67.2431,58.62,59,100,9.33,UZ,1650765789
322,Bireun,5.203,96.7009,83.82,68,67,1.23,ID,1650765790
323,Bambous Virieux,-20.3428,57.7575,75.45,69,40,14.97,MU,1650765791
324,Azul,-36.777,-59.8585,61.34,64,3,7.23,AR,1650765791
325,Darhan,49.4867,105.9228,39.38,31,29,7.56,MN,1650765792
326,Lebu,-37.6167,-73.65,54.59,84,74,13.13,CL,1650765792
327,North Bend,43.4065,-124.2243,62.24,100,0,6.26,US,1650765624
328,Kuala Terengganu,5.3302,103.1408,82.58,80,86,3.02,MY,1650765793
329,Aykhal,66.0,111.5,16.07,83,100,4.85,RU,1650765507
330,Mitú,1.1983,-70.1733,77.65,81,100,1.9,CO,1650765794
331,Makkah al Mukarramah,21.4267,39.8261,78.94,56,8,4.21,SA,1650765794
332,Tautira,-17.7333,-149.15,79.21,79,96,12.15,PF,1650765795
333,Sapouy,11.5544,-1.7736,85.62,21,84,2.75,BF,1650765795
334,Valdosta,30.8327,-83.2785,71.51,65,0,9.22,US,1650765662
335,Freeport,40.6576,-73.5832,56.5,71,100,1.99,US,1650765500
336,Devonport,-41.1667,146.35,61.09,55,9,3.91,AU,1650765796
337,Fortuna,40.5982,-124.1573,54.93,82,2,1.99,US,1650765770
338,Santa Maria,-29.6842,-53.8069,53.26,79,0,3.49,BR,1650765740
339,Ballina,-28.8667,153.5667,68.77,98,38,14.85,AU,1650765797
340,Tondano,1.3038,124.9112,78.89,59,41,0.29,ID,1650765798
341,Ust'-Kan,50.9276,84.761,26.13,68,81,8.95,RU,1650765798
342,Port Hedland,-20.3167,118.5667,89.65,18,0,14.97,AU,1650765799
343,Paita,-5.0892,-81.1144,68.58,84,27,12.3,PE,1650765799
344,Trairi,-3.2778,-39.2689,72.79,97,100,6.13,BR,1650765800
345,Christchurch,-43.5333,172.6333,62.94,63,100,13.8,NZ,1650765585
346,Iracoubo,5.4802,-53.2011,76.01,91,88,6.33,GF,1650765800
347,Bilecik Province,40.0,30.1667,51.89,74,0,1.86,TR,1650765801
348,Sawtell,-30.3833,153.1,70.18,77,75,11.5,AU,1650765801
349,Rørvik,64.8621,11.2373,41.05,76,49,5.57,NO,1650765802
350,Barra de Tecoanapa,16.5167,-98.75,81.32,71,0,7.94,MX,1650765802
351,Kiryat Gat,31.61,34.7642,70.39,100,49,4.88,IL,1650765544
352,Ostrovnoy,68.0531,39.5131,30.81,91,87,14.92,RU,1650765803
